"Recommendation block title","Recommendation block title"
"Maximum recommended items","Maximum recommended items"
"If set to 'Yes' the BESUGRE Recommendation extension is enabled and generates product recommendations according to the below mentioned configuration options and the recommendation engine configuration in the BESUGRE Recommendation tool (menu <em>Promotions / BESUGRE Recommendation</em>).<br />If set to 'No' the extension is completely disabled.","If set to 'Yes' the BESUGRE Recommendation extension is enabled and generates product recommendations according to the below mentioned configuration options and the recommendation engine configuration in the BESUGRE Recommendation tool (menu <em>Promotions / BESUGRE Recommendation</em>).<br />If set to 'No' the extension is completely disabled."
"If enabled product recommendations will be shown on product list (=category) pages. The configuration can be done by the below mentioned options.","If enabled product recommendations will be shown on product list (=category) pages. The configuration can be done by the below mentioned options."
"Optionally specify the title of the recommendation block, e.g. 'Customers who bought this also bought..'. If left empty the block shows no title above the recommended products.","Optionally specify the title of the recommendation block, e.g. 'Customers who bought this also bought..'. If left empty the block shows no title above the recommended products."
"Specify the position of the recommendation block depending on the column and vertical alignment. Depending on your current Magento theme not all positions may be available.","Specify the position of the recommendation block depending on the column and vertical alignment. Depending on your current Magento theme not all positions may be available."
"How many items should be visible to the user in the recommendation block?<br />Please note that this setting should be chosen depending on the <em>position on page</em>. Usually for a position in the main column ca. 5 - 8 visible items are recommended. In contrast in the left or right column displaying only 1 item at a time might be more attractive.","How many items should be visible to the user in the recommendation block?<br />Please note that this setting should be chosen depending on the <em>position on page</em>. Usually for a position in the main column ca. 5 - 8 visible items are recommended. In contrast in the left or right column displaying only 1 item at a time might be more attractive."
"Specify the maximum number of recommended items that should be shown in total.","Specify the maximum number of recommended items that should be shown in total."
"If enabled product recommendations will be shown on product detail pages. The configuration can be done by the below mentioned options.","If enabled product recommendations will be shown on product detail pages. The configuration can be done by the below mentioned options."
"If enabled product recommendations will be shown on the shopping cart page. The configuration can be done by the below mentioned options.","If enabled product recommendations will be shown on the shopping cart page. The configuration can be done by the below mentioned options."
"If enabled product recommendations will be shown on the order success page. The configuration can be done by the below mentioned options.","If enabled product recommendations will be shown on the order success page. The configuration can be done by the below mentioned options."
"Recommendation block title","Recommendation block title"
"Maximum recommended items","Maximum recommended items"
"Configuration of the BESUGRE Recommendation widgets. If you need any assistance please do not hesitate to <a href=""http://www.besugre.com/en/contacts"" target=""_blank"">contact us</a>.","Configuration of the BESUGRE Recommendation widgets. If you need any assistance please do not hesitate to <a href=""http://www.besugre.com/en/contacts"" target=""_blank"">contact us</a>."
"Recommendation layout","Recommendation layout"
"We offer 3 different layout options by default:<br /><strong>Carousel</strong> allows you to slide through the different recommended products. A carousel with <em>Shown item counts</em> = 1 will only display 1 product at a time.<br /><strong>Carousel displaying a highlighted top item</strong> consists of 2 rows with a <em>Carousel</em> layout in the lower one and additionally highlights the first recommended product more prominently on the first row.<br /><strong>Simple list</strong> displays a list of recommended products analogous to the standard Magento product lists.","We offer 3 different layout options by default:<br /><strong>Carousel</strong> allows you to slide through the different recommended products. A carousel with <em>Shown item counts</em> = 1 will only display 1 product at a time.<br /><strong>Carousel displaying a highlighted top item</strong> consists of 2 rows with a <em>Carousel</em> layout in the lower one and additionally highlights the first recommended product more prominently on the first row.<br /><strong>Simple list</strong> displays a list of recommended products analogous to the standard Magento product lists."
"Carousel","Carousel"
"Carousel displaying a highlighted top item","Carousel displaying a highlighted top item"
"Simple list","Simple list"
"Recommendation block title","Recommendation block title"
"License Management","License Management"
"BESUGRE Recommendation license key","BESUGRE Recommendation license key"
"General","General"
"Product list recommendation configuration","Product list recommendation configuration"
"Product detail page recommendation configuration","Product detail page recommendation configuration"
"Cart page recommendation configuration","Cart page recommendation configuration"
"Order success page recommendation configuration","Order success page recommendation configuration"
"Customer account page recommendation configuration","Customer account page recommendation configuration"
"Enable Extension","Enable Extension"
"Show recommendations on product lists","Show recommendations on product lists"
"Title","Title"
"Position on page","Position on page"
"Items to show at once","Items to show at once"
"Maximum recommended items","Maximum recommended items"
"Show recommendations on product detail page","Show recommendations on product detail page"
"Show recommendations on cart page","Show recommendations on cart page"
"Show recommendations on order success page","Show recommendations on order success page"
"Show recommendations on customer account page","Show recommendations on customer account page"
"On the top of the main content column","On the top of the main content column"
"On the bottom of the main content column","On the bottom of the main content column"
"On the top of the left column","On the top of the left column"
"On the bottom of the left column","On the bottom of the left column"
"On the top of the right column","On the top of the right column"
"On the bottom of the right column","On the bottom of the right column"
"You receive your BESUGRE Recommendation license key via email after your purchase. If you have questions please don't hesitate to contact BESUGRE on <a href="http://www.besugre.com">http://www.besugre.com</a>.","You receive your BESUGRE Recommendation license key via email after your purchase. If you have questions please don't hesitate to contact BESUGRE on <a href="http://www.besugre.com">http://www.besugre.com</a>."
